	Article	Match
34	Aarhus	aarhus such as [[arla foods]], one of the largest dairy groups in europe, [[dansk supermarked a/s|dansk supermarked]], denmark
35	Aarhus	aarhus container port]] the port of aarhus is one of the largest industrial ports in [[northern europe]] with the largest container terminal in denmark
36	Aarhus	aarhus is one of the largest industrial ports in [[northern europe]] with the largest container terminal in denmark, processing more than 50% of denmark
37	Aarhus	aarhus is one of the largest industrial ports in [[northern europe]] with the largest container terminal in denmark
38	Aarhus	aarhus kunstmuseum|aros art museum]], the [[the old town, aarhus|old town museum]] and [[tivoli friheden]] are among denmark
39	Aarhus	aarhus|old town museum]] and [[tivoli friheden]] are among denmark's [[list of tourist attractions in denmark
40	Aarhus	aarhus|old town museum]] and [[tivoli friheden]] are among denmark
41	Aarhus	aarhus as a destination is experiencing the city and culture, family and couples vacation or as a part of a round trip in denmark
42	Aarhus	aarhus municipality and local commercial interest organisations.<ref>{{cite web|url=http://www.visitaarhus.com/ln-int/denmark
43	Aarhus	aarhus is [[incuba science park]], focused on [[it]] and [[biomedical research]], it is based on denmark
44	Aarhus	aarhus is home to the [[aarhus school of architecture]], one of two danish [[ministry of science, innovation and higher education (denmark
45	Aarhus	aarhus school of architecture]], one of two danish [[ministry of science, innovation and higher education (denmark
46	Aarhus	aarhus cathedral]] (''århus domkirke'') in the centre of aarhus, is the longest and tallest church in denmark
47	Aarhus	aarhus, is the longest and tallest church in denmark
48	Aarhus	aarhus theatre]] from 1916 in the art nouveau style is the largest provincial theatre in denmark
49	Aarhus	aarhus kunstmuseum]]]] aarhus has a range of museums, including [[list of tourist attractions in denmark
50	Aarhus	aarhus has a range of museums, including [[list of tourist attractions in denmark
51	Aarhus	aarhus kunstmuseum]]''. ''den gamle by'' (the old town), officially ''danmarks købstadmuseum'' (denmark
52	Aarhus	aarhus|occupation museum]] (''besættelsesmuseum'') presents exhibits illustrating the [[german occupation of denmark
53	Aarhus	aarhus kommune|accessdate=15 october 2015}}</ref> the [[state and university library, denmark
54	Aarhus	aarhus festuge]] as the most popular and wide-ranging, along with large sports events.<ref>{{cite web|url=http://www.visitaarhus.com/ln-int/denmark
55	Aarhus	aarhus. [[danmarks grimmeste festival]] (lit. denmark
56	Aarhus	aarhus: restauranter|author =ole loumann|publisher=politiken|accessdate=30 july 2014 |language=danish}}</ref> restaurants in aarhus were the first in denmark
57	Aarhus	aarhusian, as most local dialects in denmark
58	Aarhus	aarhus kommune|publisher=aarhus kommune|accessdate=12 april 2014}}</ref> the [[national olympic committee and sports confederation of denmark
59	Aarhus	aarhus kommune|accessdate=12 april 2014}}</ref> the [[national olympic committee and sports confederation of denmark
60	Aarhus	aarhus.dk/sitecore/content/subsites/cityofaarhus/home/the-international-perspective/business-development-in-an-international-perspective/aarhus-is-denmark
61	Aarhus	aarhus/home/the-international-perspective/business-development-in-an-international-perspective/aarhus-is-denmark
62	Aarhus	aarhus-is-denmarks-number-one-for-sporting-events.aspx|title=aarhus is denmark
63	Aarhus	aarhus-denmarks-city-of-smiles-3/|title=aarhus, denmark
64	Aarhus	aarhus, denmark's city of smiles|publisher=etb news|accessdate=26 july 2014 }}</ref> aarhus has the greatest concentration of students in denmark
65	Aarhus	aarhus has the greatest concentration of students in denmark
66	Aarhus	aarhus.dk/aarhus/uddannelse-i-aarhus/boliger.aspx</ref> on 1 january 2012, [[aarhus university]] (au) was the largest university in denmark
67	Aarhus	aarhus/uddannelse-i-aarhus/boliger.aspx</ref> on 1 january 2012, [[aarhus university]] (au) was the largest university in denmark
68	Aarhus	aarhus/boliger.aspx</ref> on 1 january 2012, [[aarhus university]] (au) was the largest university in denmark
69	Aarhus	aarhus university]] (au) was the largest university in denmark
70	Aarhus	aarhus university|accessdate=1 august 2014}}</ref> [[aarhus tech]] is one of the largest technical colleges in denmark
71	Aarhus	aarhus tech]] is one of the largest technical colleges in denmark
72	Aarhus	aarhustech.dk|accessdate=1 august 2014}}</ref> [[business academy aarhus]] is among the largest business academies in denmark
73	Aarhus	aarhus]] is among the largest business academies in denmark
74	Aarhus	aarhus]] (''det jyske musikkonservatorium'') is a [[conservatoire]], established under the auspices of the [[ministry of culture (denmark
75	Aarhus	aarhus'') was founded in 1965. along with the [[royal danish academy of fine arts]] of copenhagen, it is responsible for the education of architects in denmark
76	Aarhus	aarhus is [[aarhus central station]] located in the city centre. [[dsb (railway company)|dsb]] has connections to destinations throughout denmark
77	Aarhus	aarhus central station]] located in the city centre. [[dsb (railway company)|dsb]] has connections to destinations throughout denmark
78	Aarhus	"aarhus is home to [[aarhus university hospital]], one of six danish ""super hospitals"" officially established in 2007 when [[regions of denmark"
79	Aarhus	"aarhus university hospital]], one of six danish ""super hospitals"" officially established in 2007 when [[regions of denmark"
80	Aarhus	aarhus county hospital|county hospital]], [[marselisborg hospital]] and [[jydske asyl|risskov psychiatric hospital]]. it is today the largest hospital in denmark
81	Aarhus	aarhus as well. ''ciconia aarhus private hospital'' founded in 1984 is a leading danish fertility clinic and the first of its kind in denmark
82	Aarhus	aarhus private hospital'' founded in 1984 is a leading danish fertility clinic and the first of its kind in denmark
83	Aarhus	aarhus|publisher=dr|date=3 september 2013|accessdate=21 july 2014|language=danish}}</ref> in 1990, [[tv 2 (denmark
84	Aarhus	aarhus can be watched by 130,000 households in aarhus, making it the largest cable-transmitted local tv channel in denmark
85	Aarhus	aarhus, making it the largest cable-transmitted local tv channel in denmark
86	Aarhus	aarhus''] official tourist site <!--*[http://webwalk.dk/locations/dk/aarhus/index.html virtual aarhus (newer)]--> <!--*[http://www.virtualdenmark
87	Aarhus	aarhus/index.html virtual aarhus (newer)]--> <!--*[http://www.virtualdenmark
88	Aarhus	aarhus (newer)]--> <!--*[http://www.virtualdenmark
89	Aarhus	aarhus municipality}} {{education in aarhus}} {{churches in aarhus}} {{listed buildings in aarhus municipality}} {{central denmark
90	Aarhus	aarhus}} {{churches in aarhus}} {{listed buildings in aarhus municipality}} {{central denmark region}} {{municipal seats of denmark
91	Aarhus	aarhus}} {{churches in aarhus}} {{listed buildings in aarhus municipality}} {{central denmark
92	Aarhus	aarhus}} {{listed buildings in aarhus municipality}} {{central denmark region}} {{municipal seats of denmark}} {{30 most populous cities of denmark
93	Aarhus	aarhus}} {{listed buildings in aarhus municipality}} {{central denmark region}} {{municipal seats of denmark
94	Aarhus	aarhus}} {{listed buildings in aarhus municipality}} {{central denmark
95	Aarhus	aarhus municipality}} {{central denmark region}} {{municipal seats of denmark}} {{30 most populous cities of denmark
96	Aarhus	aarhus municipality}} {{central denmark region}} {{municipal seats of denmark
97	Aarhus	aarhus municipality]] [[category:municipal seats of central denmark region]] [[category:municipal seats of denmark]] [[category:port cities and towns in denmark
98	Aarhus	aarhus municipality]] [[category:municipal seats of central denmark region]] [[category:municipal seats of denmark
99	Aarhus	aarhus municipality]] [[category:municipal seats of central denmark
0	Alan Turing	aarhus university]] (in [[aarhus]], denmark
0	Aarhus County	aarhus.png|aarhus county in denmark]] |- |} '''aarhus county''' or '''århus county''' ({{lang-da|århus amt}}) is a former [[counties of denmark|county of denmark
1	Aarhus County	aarhus.png|aarhus county in denmark]] |- |} '''aarhus county''' or '''århus county''' ({{lang-da|århus amt}}) is a former [[counties of denmark
2	Aarhus County	aarhus county in denmark]] |- |} '''aarhus county''' or '''århus county''' ({{lang-da|århus amt}}) is a former [[counties of denmark|county of denmark
3	Aarhus County	aarhus county in denmark]] |- |} '''aarhus county''' or '''århus county''' ({{lang-da|århus amt}}) is a former [[counties of denmark
4	Aarhus County	aarhus county''' or '''århus county''' ({{lang-da|århus amt}}) is a former [[counties of denmark|county of denmark
5	Aarhus County	aarhus county''' or '''århus county''' ({{lang-da|århus amt}}) is a former [[counties of denmark
0	Arla Foods	aarhus]] [[category:cooperatives in denmark
0	Aarhus University	aarhus]] |country = [[denmark]] {{flagicon|denmark
1	Aarhus University	aarhus universitet}}, abbreviated '''au''') is a prestigious [[public university|research university]] located in [[aarhus]], [[denmark
2	Aarhus University	aarhus]], [[denmark]]. founded in 1928, it is denmark
3	Aarhus University	aarhus university one of the few in the world to have the so-called triple crown accreditations. denmark
4	Aarhus University	aarhus' businesses, organisations and institutions, the municipality of aarhus had fought since 1921 to have denmark
5	Aarhus University	aarhus had fought since 1921 to have denmark
6	Aarhus University	aarhus university's school of engineering was merged with the university proper, making it denmarks' largest.{{clarify|denmark
7	Aarhus University	aarhus university's school of engineering was merged with the university proper, making it denmark
8	Aarhus University	aarhus university)|science and technology]]'' – consists of the [[national environmental research institute of denmark
9	Aarhus University	aarhus university, since the centre offers advice on finding housing and living in denmark
10	Aarhus University	aarhus university are the [[students' union#denmark
11	Aarhus University	aarhus school of business|asb]]) is currently the largest student organisation in denmark
12	Aarhus University	aarhus university is ranked as one of the top schools in denmark
13	Aarhus University	aarhus university, institute of business and technology] {{coord|56|10|n|10|12|e|type:edu_region:dk|display=title}} {{universities in denmark
14	Aarhus University	aarhus}} {{utrecht network}} {{coimbra group}} [[category:universities in denmark
0	Albert Einstein World Award of Science	aarhus university]] | the main hall, [[aarhus university]], [[aarhus]] | {{flagicon |den}} [[denmark
1	Albert Einstein World Award of Science	aarhus university]], [[aarhus]] | {{flagicon |den}} [[denmark
0	Anne McIntosh	aarhus]] in the [[jutland]] region of denmark
0	Anker Jørgensen	aarhus university]]|date=15 august 2011|accessdate=21 march 2016|language=danish}}</ref> he served his [[conscription in denmark
1	Anker Jørgensen	aarhus/> he held this position for 14 months until the [[danish parliamentary election, 1973|1973 election]] when he was succeeded by [[venstre (denmark
2	Anker Jørgensen	aarhus/> throughout his time in office, he showed strong leadership - guiding denmark into the eec and further developing denmark
3	Anker Jørgensen	aarhus/> throughout his time in office, he showed strong leadership - guiding denmark
0	Aarhus Airport	aarhus airport | nativename = {{small|''aarhus lufthavn''}} | image = denmark
1	Aarhus Airport	aarhus lufthavn [[aktieselskab|a/s]] | city-served = [[aarhus]], denmark
2	Aarhus Airport	aarhus airport''' ({{lang-da|aarhus lufthavn}}) {{airport codes|aar|ekah}} is a civilian airport located in [[tirstrup]], [[denmark
3	Aarhus Airport	aarhus lufthavn}}) {{airport codes|aar|ekah}} is a civilian airport located in [[tirstrup]], [[denmark
0	AGF	aarhus gymnastikforening]], a football club in the city of århus, denmark
0	Aros	aarhus]], the second largest city in denmark
0	Army Operational Command (Denmark)	aarhus]], 1 august 1993 it had its headquarters in [[karup]], [[denmark
0	Anders Samuelsen	aarhus university]] }} '''anders samuelsen''' (born 1 august 1967 in [[horsens]]) is a [[politics of denmark
0	Aarhus Municipality	aarhus city seal, stylized.png|thumb|upright|city seal of aarhus]] [[file:map dk århus.png|thumb|right|location map in [[denmark
1	Aarhus Municipality	aarhus]] [[file:map dk århus.png|thumb|right|location map in [[denmark
2	Aarhus Municipality	aarhus kommune}}), until 2011 formerly known as '''århus municipality''' ({{lang-da|århus kommune}}), is a [[municipalities of denmark
3	Aarhus Municipality	aarhus municipality was not merged with other municipalities in the nationwide [[municipalities of denmark
4	Aarhus Municipality	aarhus leans [[left-wing|left]] and the largest political party has historically been the [[social democrats (denmark
5	Aarhus Municipality	aarhus county]] until the 2007 danish municipal reform, which substituted the danish counties with five regions and replaced aarhus county with [[central denmark
6	Aarhus Municipality	aarhus county with [[central denmark region]] (''region midtjylland''), seated in [[viborg, denmark
7	Aarhus Municipality	aarhus municipality|list of towns and cities in aarhus municipality}} [[danmarks statistik|statistics denmark
8	Aarhus Municipality	aarhus municipality}} [[danmarks statistik|statistics denmark
9	Aarhus Municipality	aarhus is the second largest [[urban area]] in denmark, the principal port on the east coast of [[jutland]], and the seat of denmark
10	Aarhus Municipality	aarhus is the second largest [[urban area]] in denmark
11	Aarhus Municipality	aarhus. {{col-begin|width=75%}} {{col-4}} * [[aarhus]] (261,570) * [[lystrup]] (10,341) * [[beder-malling, denmark
12	Aarhus Municipality	aarhus]] (261,570) * [[lystrup]] (10,341) * [[beder-malling, denmark
13	Aarhus Municipality	aarhus municipality| ]] [[category:municipalities of central denmark region]] [[category:municipalities of denmark
14	Aarhus Municipality	aarhus municipality| ]] [[category:municipalities of central denmark
0	Aarhus Gymnastikforening	aarhus gymnastikforening''' ('''agf''' or '''agf aarhus''') is one of the oldest [[sport clubs]] in denmark
1	Aarhus Gymnastikforening	aarhus''') is one of the oldest [[sport clubs]] in denmark
2	Aarhus Gymnastikforening	aarhus]] == list of agf managers == {{citation needed|date=may 2016}} * a. g. pettersson (1919–22) * mr. brown (1922–24) *{{flagicon|denmark
3	Aarhus Gymnastikforening	aarhus gymnastikforening squad}} [[category:aarhus gymnastikforening| ]] [[category:football clubs in denmark]] [[category:athletics clubs in denmark
4	Aarhus Gymnastikforening	aarhus gymnastikforening squad}} [[category:aarhus gymnastikforening| ]] [[category:football clubs in denmark
5	Aarhus Gymnastikforening	aarhus gymnastikforening| ]] [[category:football clubs in denmark]] [[category:athletics clubs in denmark
6	Aarhus Gymnastikforening	aarhus gymnastikforening| ]] [[category:football clubs in denmark
0	Aarhus Cathedral	aarhus domkirke | caption = aarhus cathedral, main entrance and tower | location = domkirkepladsen 2 <br/> 8000 [[aarhus]] | country = [[denmark
1	Aarhus Cathedral	aarhus cathedral, main entrance and tower | location = domkirkepladsen 2 <br/> 8000 [[aarhus]] | country = [[denmark
2	Aarhus Cathedral	aarhus cathedral''' ({{lang-da|aarhus domkirke}}) is a [[cathedral]] in [[aarhus]], [[denmark
3	Aarhus Cathedral	aarhus domkirke}}) is a [[cathedral]] in [[aarhus]], [[denmark
4	Aarhus Cathedral	aarhus cathedral began in the 12th century and it is the main edifice of the [[diocese of aarhus]] for the [[church of denmark
5	Aarhus Cathedral	"aarhus was called aros, arus, aarhus or aars, as early as the 15th century. the city's charter of 1449 names it ""aarss"". after the [[reformation in denmark"
6	Aarhus Cathedral	"aarhus or aars, as early as the 15th century. the city's charter of 1449 names it ""aarss"". after the [[reformation in denmark"
7	Aarhus Cathedral	aarhus]] (also called st. nickolas). st. niels was a younger son of [[canute v of denmark
8	Aarhus Cathedral	aarhus cathedral began in the decade after year 1190, by bishop peder vognsen of the powerful hvide family from [[zealand (denmark
9	Aarhus Cathedral	aarhus, ove bilde, was imprisoned in the summer of 1536 when denmark
10	Aarhus Cathedral	aarhus cathedral]] ===the fresco paintings and the stained glass window=== aarhus cathedral has a number of [[church frescos in denmark
11	Aarhus Cathedral	aarhus cathedral has a number of [[church frescos in denmark
12	Aarhus Cathedral	aarhus domkirke ship.jpg|left|thumb|a model [[ship]] exhibited inside the aarhus cathedral]] as is the custom in many parts of denmark
13	Aarhus Cathedral	aarhus cathedral]] as is the custom in many parts of denmark, a [[ship]] hangs at the crossing as a reminder of those lost at sea and of denmark
14	Aarhus Cathedral	aarhus cathedral]] as is the custom in many parts of denmark
15	Aarhus Cathedral	aarhus-domkirke.dk/}} {{da icon}} {{en icon}} {{aarhus}} {{churches in aarhus}} [[category:churches in aarhus]] [[category:cathedrals in denmark
16	Aarhus Cathedral	aarhus}} {{churches in aarhus}} [[category:churches in aarhus]] [[category:cathedrals in denmark
17	Aarhus Cathedral	aarhus}} [[category:churches in aarhus]] [[category:cathedrals in denmark
18	Aarhus Cathedral	aarhus]] [[category:brick gothic]] [[category:gothic architecture in denmark
0	Aarhus C	aarhus c''' is a postal district in the city of [[aarhus]], [[denmark
1	Aarhus C	"aarhus"" and is home to around 55,000 citizens. ==quarters and areas== ===midtbyen=== {{main|midtbyen, aarhus}} [[image:aarhus, denmark"
2	Aarhus C	aarhus)|light house building]], which would have become denmark
3	Aarhus C	aarhus cathedral]] ({{lang-da|århus domkirke}}), the tallest and longest cathedral in denmark
4	Aarhus C	aarhus universitet}}). * [[science museums, aarhus|science museums]], 3 public science museums across the city. * [[state and university library, denmark
5	Aarhus C	aarhus|science museums]], 3 public science museums across the city. * [[state and university library, denmark
6	Aarhus C	aarhus is connected to the rest of the country with inter-city and commuter rail, and århus central station serves as a major hub for rail traffic in denmark
7	Aarhus C	aarhus c. this includes [[grenå]]vej, [[randers]]vej, [[viborg, denmark
8	Aarhus C	aarhus universitets hovedbygning set fra parken.jpg|aarhus university. file:aarhus, denmark
9	Aarhus C	aarhus n]] * [[aarhus v]] * [[viby j]] * [[højbjerg]] * [[brabrand]] == external links == {{commons category|aarhus c}} {{coord missing|denmark
10	Aarhus C	aarhus v]] * [[viby j]] * [[højbjerg]] * [[brabrand]] == external links == {{commons category|aarhus c}} {{coord missing|denmark
0	Ancient See of Aarhus	aarhus]]''' (latin: ''arusia'', ''arusiensis'') was a pre-[[reformation in denmark|reformation]] catholic diocese in [[denmark
1	Ancient See of Aarhus	aarhus]]''' (latin: ''arusia'', ''arusiensis'') was a pre-[[reformation in denmark
2	Ancient See of Aarhus	aarhus|venerable niels]], [[prince of denmark
3	Ancient See of Aarhus	aarhus]] {{catholic}} [[category:pre-reformation dioceses in nordic europe|arhus]] [[category:catholic church in denmark
0	Atletion	aarhus]]<br />[[aarhus håndbold]]<br />[[aarhus 1900]]<br />[[team århus floorball]]<br />[[denmark
1	Atletion	aarhus håndbold]]<br />[[aarhus 1900]]<br />[[team århus floorball]]<br />[[denmark
2	Atletion	aarhus 1900]]<br />[[team århus floorball]]<br />[[denmark
3	Atletion	aarhus idrætspark'', ''atletion'' and ''nrgi park'') is a combined sport venue, in [[aarhus]], [[denmark
4	Atletion	aarhus]] [[category:aarhus gymnastikforening]] [[category:football venues in denmark]] [[category:handball venues in denmark]] [[category:indoor arenas in denmark
5	Atletion	aarhus]] [[category:aarhus gymnastikforening]] [[category:football venues in denmark]] [[category:handball venues in denmark
6	Atletion	aarhus]] [[category:aarhus gymnastikforening]] [[category:football venues in denmark
7	Atletion	aarhus gymnastikforening]] [[category:football venues in denmark]] [[category:handball venues in denmark]] [[category:indoor arenas in denmark
8	Atletion	aarhus gymnastikforening]] [[category:football venues in denmark]] [[category:handball venues in denmark
9	Atletion	aarhus gymnastikforening]] [[category:football venues in denmark
0	Anne Linnet	aarhus|århus]], [[denmark]]) is a [[denmark
0	Arla Foods UK	aarhus]], denmark. arla foods is today owned by approximately 10,600 milk producers in denmark
0	Aarhus Theatre	aarhus teater.jpg|thumb|aarhus theatre]] the '''aarhus theatre''' (danish: ''aarhus teater'') in [[aarhus]], is the largest provincial theatre in [[denmark
1	Aarhus Theatre	aarhus theatre]] the '''aarhus theatre''' (danish: ''aarhus teater'') in [[aarhus]], is the largest provincial theatre in [[denmark
2	Aarhus Theatre	aarhus theatre''' (danish: ''aarhus teater'') in [[aarhus]], is the largest provincial theatre in [[denmark
3	Aarhus Theatre	aarhus teater'') in [[aarhus]], is the largest provincial theatre in [[denmark
4	Aarhus Theatre	aarhus]], is the largest provincial theatre in [[denmark
5	Aarhus Theatre	aarhus]] [[category:listed buildings in aarhus]] [[category:tourist attractions in aarhus]] [[category:art nouveau architecture in denmark
6	Aarhus Theatre	aarhus]] [[category:tourist attractions in aarhus]] [[category:art nouveau architecture in denmark
7	Aarhus Theatre	aarhus]] [[category:art nouveau architecture in denmark
0	Allan K. Jepsen	aarhus gymnastikforening|agf]], jepsen was a promising talent for many years, and was capped 24 times for the [[denmark
0	Aarhus Fremad	aarhus]] | capacity = 4,500 | chairman = rune kilden | manager = morten mølkjær | league = [[danish 2nd division]], p3 | season = 2014–15 | position = [[denmark
1	Aarhus Fremad	aarhus-fremad.dk/ official site] {{danish 2nd division}} [[category:football clubs in denmark
2	Aarhus Fremad	aarhus]] [[category:aarhus fremad|*]] {{denmark
0	Aarhus City Hall	aarhus city hall | image = århus rådhus.jpg | caption = | alternate_name = | location = [[aarhus]], [[denmark
1	Aarhus City Hall	aarhus city hall''' is the city hall of [[aarhus]], [[denmark
0	Aarhus Festuge	aarhus festival | image = det tyrkise telt 01.jpg | image_size = | caption = a small concert arrangement | logo = | location = [[aarhus]], [[denmark
1	Aarhus Festuge	aarhusfestuge.dk/ aarhus festuge] }} '''aarhus festuge''' ('''aarhus festival''') is a 10-day arts and culture [[festival]] in the city of [[aarhus]], [[denmark
2	Aarhus Festuge	aarhus festuge] }} '''aarhus festuge''' ('''aarhus festival''') is a 10-day arts and culture [[festival]] in the city of [[aarhus]], [[denmark
3	Aarhus Festuge	aarhus festuge''' ('''aarhus festival''') is a 10-day arts and culture [[festival]] in the city of [[aarhus]], [[denmark
4	Aarhus Festuge	aarhus festival''') is a 10-day arts and culture [[festival]] in the city of [[aarhus]], [[denmark
5	Aarhus Festuge	aarhus festuge}} *{{official website|http://www.aarhusfestuge.dk/}} {{festivalsdenmark
6	Aarhus Festuge	aarhus}} {{coord|56|09|12|n|10|12|03|e|region:dk_type:landmark_source:kolossus-dawiki|display=title}} [[category:festivals in denmark
7	Aarhus Festuge	aarhus]] [[category:1964 establishments in denmark]] [[category:recurring events established in 1965]] [[category:arts festivals in denmark
8	Aarhus Festuge	aarhus]] [[category:1964 establishments in denmark
0	ARoS Aarhus Kunstmuseum	aarhus kunstmuseum''' is an [[art museum]] in [[aarhus]], [[denmark]]. the museum was established in 1859 and is the oldest public art museum in denmark
1	ARoS Aarhus Kunstmuseum	aarhus kunstmuseum''' is an [[art museum]] in [[aarhus]], [[denmark
2	ARoS Aarhus Kunstmuseum	aarhus]], [[denmark]]. the museum was established in 1859 and is the oldest public art museum in denmark
3	ARoS Aarhus Kunstmuseum	aarhus]] [[category:art museums and galleries in denmark
0	Apostolic Vicariate of Northern Germany	aarhus|aarhus (d)]] | 1536 | 1688–1868 | [[apostolic prefecture of denmark|denmark (ap)]] 1868–1892<br>[[apostolic vicariate of denmark|denmark
1	Apostolic Vicariate of Northern Germany	aarhus|aarhus (d)]] | 1536 | 1688–1868 | [[apostolic prefecture of denmark|denmark (ap)]] 1868–1892<br>[[apostolic vicariate of denmark
2	Apostolic Vicariate of Northern Germany	aarhus|aarhus (d)]] | 1536 | 1688–1868 | [[apostolic prefecture of denmark|denmark
3	Apostolic Vicariate of Northern Germany	aarhus|aarhus (d)]] | 1536 | 1688–1868 | [[apostolic prefecture of denmark
4	Apostolic Vicariate of Northern Germany	aarhus (d)]] | 1536 | 1688–1868 | [[apostolic prefecture of denmark|denmark (ap)]] 1868–1892<br>[[apostolic vicariate of denmark|denmark
5	Apostolic Vicariate of Northern Germany	aarhus (d)]] | 1536 | 1688–1868 | [[apostolic prefecture of denmark|denmark (ap)]] 1868–1892<br>[[apostolic vicariate of denmark
6	Apostolic Vicariate of Northern Germany	aarhus (d)]] | 1536 | 1688–1868 | [[apostolic prefecture of denmark|denmark
7	Apostolic Vicariate of Northern Germany	aarhus (d)]] | 1536 | 1688–1868 | [[apostolic prefecture of denmark
0	Alex Nørlund	aarhus gymnastikforening|agf]], winning the 2000 [[danish cup]] with viborg. he played six games and scored two goals for the [[denmark
0	Adam Saks	aarhus kunstmuseum (denmark, 2010), the städtische galerie offenburg (germany, 2012), kunsthal nord - [[aalborg]] (denmark
1	Adam Saks	aarhus kunstmuseum, aarhus, denmark * 2010 ''dry your eyes'', galleri christoffer egelund, copenhagen, denmark
2	Adam Saks	aarhus, denmark * 2010 ''dry your eyes'', galleri christoffer egelund, copenhagen, denmark
3	Adam Saks	aarhus kunstbygning, aarhus, denmark * 2006 ''marion, nur für dich'', schaefer grafisk vaerksted, copenhagen, denmark
4	Adam Saks	aarhus, denmark * 2006 ''marion, nur für dich'', schaefer grafisk vaerksted, copenhagen, denmark
5	Adam Saks	aarhus kunstmuseum]] (denmark) * [[kunsten]] – museum of modern art, aalborg (denmark
0	Aaby	aarhus]], a suburb in denmark *[[nørre aaby]], a town in denmark
0	Alex Valencia	"aarhus gymnastik forening|agf aarhus]] in july 2007.<ref name=""danmark"" /> valencia's spell in denmark"
1	Alex Valencia	"aarhus]] in july 2007.<ref name=""danmark"" /> valencia's spell in denmark"
