	Article	Match
5	Apache License	apache software foundation]] | version = 2.0 | copyright = apache software
6	Apache License	apache software
7	Apache License	apache software
8	Apache License	apache_software_license_.28asl.29 |title=the apache software
9	Apache License	apache_software
10	Apache License	apache software
11	Apache License	apache license, version 2.0 |work=various licenses and comments about them |publisher=[[free software
12	Apache License	apache.org/licenses}} }} the '''apache license, version 2.0''' ('''alv2''') is a [[permissive free software
13	Apache License	apache license, version 2.0''' ('''alv2''') is a [[permissive free software licence|permissive]] [[free software
14	Apache License	apache license, version 2.0''' ('''alv2''') is a [[permissive free software
15	Apache License	apache software
16	Apache License	apache license requires preservation of the [[copyright]] notice and [[disclaimer]]. like other [[free software
17	Apache License	apache license and many non-asf projects are also using the alv2. a free software
18	Apache License	apache licenses'>{{cite web|url=http://www.apache.org/licenses/ |title=licenses – the apache software
19	Apache License	apache.org/licenses/ |title=licenses – the apache software
20	Apache License	apache software
21	Apache License	apache licenses'/> ==licensing conditions== the apache license is [[permissive free software
22	Apache License	apache license is [[permissive free software
23	Apache License	apache software foundation and the [[free software
24	Apache License	apache software
25	Apache License	apache license 2.0 is a [[free software
26	Apache License	apache2|title=various licenses and comments about them|date=14 january 2008|publisher=free software
27	Apache License	apache license 2.0 can be combined, as long as the resulting software
28	Apache License	apache.org/licenses/gpl-compatibility.html|title=apache license v2.0 and gpl compatibility|author=apache software
29	Apache License	apache license v2.0 and gpl compatibility|author=apache software
30	Apache License	apache software
31	Apache License	apache.org/licenses/gpl-compatibility.html| archivedate= 15 january 2008 | deadurl= no}}</ref> the free software
32	Apache License	apache license|software
33	Apache License	apache-2.0%29 quick summary of the apache license 2.0] {{apache}} {{foss}} [[category:apache software
34	Apache License	apache license 2.0] {{apache}} {{foss}} [[category:apache software
35	Apache License	apache}} {{foss}} [[category:apache software foundation|license]] [[category:free and open-source software
36	Apache License	apache}} {{foss}} [[category:apache software
37	Apache License	apache software foundation|license]] [[category:free and open-source software licenses]] [[category:software
38	Apache License	apache software foundation|license]] [[category:free and open-source software
39	Apache License	apache software
0	Application server	apache geronimo|geronimo]] from [[apache software
1	Application server	apache software foundation|apache]], [[apache tomee|tomee]] from [[apache software
2	Application server	apache software
3	Application server	apache]], [[apache tomee|tomee]] from [[apache software
4	Application server	apache tomee|tomee]] from [[apache software
5	Application server	apache software
0	Apache POI	apache software
1	Apache POI	apache.org }} '''apache poi''', a project run by the [[apache software
2	Apache POI	apache poi''', a project run by the [[apache software
3	Apache POI	apache software
4	Apache POI	apache}} {{defaultsort:apache poi}} [[category:apache software
5	Apache POI	apache poi}} [[category:apache software foundation|poi]] [[category:microsoft office-related software
6	Apache POI	apache poi}} [[category:apache software
7	Apache POI	apache software foundation|poi]] [[category:microsoft office-related software
8	Apache POI	apache software
0	Apache Tomcat	apache tomcat default page | developer = [[apache software
1	Apache Tomcat	apache software
2	Apache Tomcat	apache software
3	Apache Tomcat	apache software foundation, released under the [[apache license]] 2.0 license, and is [[open-source software
4	Apache Tomcat	apache software
5	Apache Tomcat	apache license]] 2.0 license, and is [[open-source software
6	Apache Tomcat	apache.org/download-80.cgi the apache software
7	Apache Tomcat	apache software
8	Apache Tomcat	apache software foundation. the [[apache ant]] software
9	Apache Tomcat	apache software
10	Apache Tomcat	apache ant]] software
11	Apache Tomcat	apache software
12	Apache Tomcat	apache-software
13	Apache Tomcat	apache-tomee-certified-as-java-ee-6-web-profile-compatible-2011-10-04|title=the apache software
14	Apache Tomcat	apache software
15	Apache Tomcat	apache-tomcat-tutorial/ tutorial - configuring & using tomcat 6 and tomcat 7] {{apache}} {{web server software
16	Apache Tomcat	apache}} {{web server software}} [[category:apache software
17	Apache Tomcat	apache}} {{web server software
18	Apache Tomcat	apache software foundation|tomcat]] [[category:java enterprise platform]] [[category:free software
19	Apache Tomcat	apache software
20	Apache Tomcat	apache license]] [[category:web server software
0	ASF	apache software
0	Academic Free License	apache license|apache]] licenses{{snd}} licenses allowing the software to be made [[proprietary software
1	Academic Free License	apache license|apache]] licenses{{snd}} licenses allowing the software
2	Academic Free License	apache]] licenses{{snd}} licenses allowing the software to be made [[proprietary software
3	Academic Free License	apache]] licenses{{snd}} licenses allowing the software
4	Academic Free License	apache software license]]. ==see also== {{portal|free software}} *[[license proliferation]] *[[open software
5	Academic Free License	apache software license]]. ==see also== {{portal|free software
6	Academic Free License	apache software
0	Apache Nutch	apache software
1	Apache Nutch	apache nutch''' is a highly extensible and scalable [[open-source license|open source]] [[web crawler]] software
2	Apache Nutch	apache software
3	Apache Nutch	apache.org/#22-january-2015-nutch-23-release |title=nutch 2.3 release |publisher=the apache software
4	Apache Nutch	apache software
5	Apache Nutch	apache software
6	Apache Nutch	apache software
7	Apache Nutch	apache}} {{web crawlers}} [[category:internet search engines]] [[category:free search engine software
0	Apple Public Source License	apache license]], such as the [[bonjour (software
0	Apache Ant	apache-ant-logo.svg|200px|apache ant logo]] | screenshot = | caption = | developer = [[apache software
1	Apache Ant	apache ant logo]] | screenshot = | caption = | developer = [[apache software
2	Apache Ant	apache software
3	Apache Ant	apache license]] 2.0 }} '''apache ant''' is a software tool for [[build automation|automating software
4	Apache Ant	apache license]] 2.0 }} '''apache ant''' is a software
5	Apache Ant	apache ant''' is a software tool for [[build automation|automating software
6	Apache Ant	apache ant''' is a software
7	Apache Ant	apache tomcat]] project in early 2000. it was a replacement for the unix [[make (software
8	Apache Ant	apache software foundation]] project. it is [[open-source software
9	Apache Ant	apache software
10	Apache Ant	apache tomcat]], for release as [[open source]]. a [[proprietary software
11	Apache Ant	apache ant}} *{{official website}} {{apache}} {{authority control}} [[category:apache software
12	Apache Ant	apache}} {{authority control}} [[category:apache software
13	Apache Ant	apache software
14	Apache Ant	apache license]] [[category:xml software
0	Apache Struts 1	apache struts 1|apache struts 2}} {{more footnotes|date=april 2009}} {{infobox software
1	Apache Struts 1	apache struts 2}} {{more footnotes|date=april 2009}} {{infobox software
2	Apache Struts 1	apache struts logo]] | author = [[craig mcclanahan]] | developer = [[apache software
3	Apache Struts 1	apache software
4	Apache Struts 1	apache}} [[category:apache software foundation|struts]] [[category:cross-platform free software
5	Apache Struts 1	apache}} [[category:apache software
6	Apache Struts 1	apache software foundation|struts]] [[category:cross-platform free software]] [[category:free software
7	Apache Struts 1	apache software foundation|struts]] [[category:cross-platform free software
8	Apache Struts 1	apache software
0	Avalon (disambiguation)	apache avalon]], a computer software
0	ActionScript	apache flex]]) and open source virtual machine ([[tamarin (software
0	Apache Lucene	apache software
1	Apache Lucene	apache.org}} }} '''apache lucene''' is a [[free and open-source software
2	Apache Lucene	apache lucene''' is a [[free and open-source software
3	Apache Lucene	apache software foundation]] and is released under the [[apache software
4	Apache Lucene	apache software
5	Apache Lucene	apache software
6	Apache Lucene	apache software
7	Apache Lucene	apache.lucene apache lucene api tracker] {{apache}} {{authority control}} [[category:apache software
8	Apache Lucene	apache lucene api tracker] {{apache}} {{authority control}} [[category:apache software
9	Apache Lucene	apache}} {{authority control}} [[category:apache software
10	Apache Lucene	apache software foundation|lucene]] [[category:free search engine software
11	Apache Lucene	apache software
12	Apache Lucene	apache license]] [[category:search engine software
0	Ant (disambiguation)	apache ant]], a java-based software
0	ASP.NET	apache http server|apache]] hosting using the mod_mono module, [[fastcgi]] hosting, and [[xsp (software
1	ASP.NET	apache]] hosting using the mod_mono module, [[fastcgi]] hosting, and [[xsp (software
0	ANTLR	apache maven|maven]] {{defaultsort:antlr}} [[category:1992 software
0	Apache Lenya	apache-lenya-menubar.png|250px]] --> | caption = | developer = [[apache software
1	Apache Lenya	apache software
2	Apache Lenya	apache software
3	Apache Lenya	apache.org/projects/lenya.html</ref> ==see also== {{portal|free software
4	Apache Lenya	apache lenya wiki] {{apache}} [[category:free content management systems]] [[category:apache software
5	Apache Lenya	apache}} [[category:free content management systems]] [[category:apache software
6	Apache Lenya	apache software foundation|lenya]] [[category:free software
7	Apache Lenya	apache software
0	Apache Cocoon	apache cocoon | logo = | screenshot = | caption = | developer = [[apache software
1	Apache Cocoon	apache software
2	Apache Cocoon	apache lenya]] and [[daisy (software
3	Apache Cocoon	apache.org/2.1/ cocoon 2.1 documentation] * [//www.apache.org/ the apache software
4	Apache Cocoon	apache.org/ the apache software
5	Apache Cocoon	apache software
6	Apache Cocoon	apache}} {{defaultsort:apache cocoon}} [[category:apache software
7	Apache Cocoon	apache cocoon}} [[category:apache software
8	Apache Cocoon	apache software foundation|cocoon]] [[category:web frameworks]] [[category:java platform software
9	Apache Cocoon	apache software
0	Advanced Computing Environment	apache software
0	Apache XML	apache xml''' project is part of the [[apache software
1	Apache XML	apache software
2	Apache XML	apache}} {{defaultsort:apache xml}} [[category:xml software]] [[category:apache software
3	Apache XML	apache}} {{defaultsort:apache xml}} [[category:xml software
4	Apache XML	apache xml}} [[category:xml software]] [[category:apache software
5	Apache XML	apache xml}} [[category:xml software
6	Apache XML	apache software
0	AWStats	apache software
0	Apache Flex	apache flex.png|220px|apache flex icon]] |screenshot = |caption = |author = |developer = [[apache software
1	Apache Flex	apache flex icon]] |screenshot = |caption = |author = |developer = [[apache software
2	Apache Flex	apache software
3	Apache Flex	apache flex''', formerly '''adobe flex''', is a [[software
4	Apache Flex	apache software
5	Apache Flex	apache software
6	Apache Flex	apache flex became a top level project of the apache software
7	Apache Flex	apache software
8	Apache Flex	apache}} {{eclipse plugins}} {{rich internet applications}} {{widget toolkits}} [[category:macromedia software
0	Apache Avalon	apache avalon | logo = | screenshot = | caption = | collapsible = | developer = [[apache software
1	Apache Avalon	apache software
2	Apache Avalon	apache.org/}} }} '''apache avalon''' is a computer software
3	Apache Avalon	apache avalon''' is a computer software
4	Apache Avalon	apache}} [[category:servers (computing)]] [[category:java platform]] {{network-software
0	Apache Maven	apache maven | logo = [[file:maven logo.svg|220px]] | screenshot = | caption = | developer = [[apache software
1	Apache Maven	apache software
2	Apache Maven	apache software
3	Apache Maven	apache ant|ant]] and [[make (software
4	Apache Maven	apache turbine]] in 2002. in 2003, it was voted on and accepted as a top level [[apache software
5	Apache Maven	apache software
6	Apache Maven	apache maven}} [[category:compiling tools]] [[category:java development tools]] [[category:apache software
7	Apache Maven	apache software foundation|maven]] [[category:build automation|maven]] [[category:software
8	Apache Maven	apache software
0	Andi Gutmans	apache software
1	Andi Gutmans	"apache-foundation"">{{cite web | year = 2008 | title = andi gutmans apache software"
2	Andi Gutmans	apache software
0	Apache JMeter	apache jmeter screenshot | developer = [[apache software
1	Apache JMeter	apache software
2	Apache JMeter	apache license]] 2.0 | website = {{url|//jmeter.apache.org/}} }} '''apache jmeter''' is an [[apache software
3	Apache JMeter	apache.org/}} }} '''apache jmeter''' is an [[apache software
4	Apache JMeter	apache jmeter''' is an [[apache software
5	Apache JMeter	apache software
6	Apache JMeter	apache.org/}} *[http://jmeter-plugins.org/ example of jmeter custom plugins] {{apache}} [[category:apache software
7	Apache JMeter	apache}} [[category:apache software
8	Apache JMeter	apache software
0	Apache Geronimo	apache geronimo web administration console | collapsible = yes | developer = [[apache software
1	Apache Geronimo	apache software foundation]] | status = active | latest release version = {{latest stable software
2	Apache Geronimo	apache software
3	Apache Geronimo	apache geronimo''' is an [[open source]] [[application server]] developed by the [[apache software
4	Apache Geronimo	apache software
5	Apache Geronimo	apache}} [[category:apache software
6	Apache Geronimo	apache software foundation|geronimo]] [[category:java enterprise platform]] [[category:free software
7	Apache Geronimo	apache software
0	Apache Incubator	apache incubator''' is the gateway for [[open-source]] projects intended to become fully fledged [[apache software
1	Apache Incubator	apache software
2	Apache Incubator	apache software
3	Apache Incubator	apache software
4	Apache Incubator	apache software
5	Apache Incubator	apache}} <!--interwikies--> [[category:apache software
6	Apache Incubator	apache software
0	Adobe Flash Player	apache flex]]: a free [[software
1	Adobe Flash Player	apache flex|adobe flex framework]] was donated as open-source to the [[apache software
2	Adobe Flash Player	apache software
0	Apache Beehive	apache hive}} {{infobox software
1	Apache Beehive	apache beehive | logo = | screenshot = | caption = | developer = [[apache software
2	Apache Beehive	apache software
3	Apache Beehive	apache software
4	Apache Beehive	apache software
5	Apache Beehive	apache}} {{defaultsort:apache beehive}} [[category:apache software
6	Apache Beehive	apache beehive}} [[category:apache software foundation|beehive]] [[category:java platform software
7	Apache Beehive	apache beehive}} [[category:apache software
8	Apache Beehive	apache software foundation|beehive]] [[category:java platform software
9	Apache Beehive	apache software
0	Apache Portable Runtime	apache software
1	Apache Portable Runtime	apache http server]], but the [[apache software
2	Apache Portable Runtime	apache software
3	Apache Portable Runtime	apache.org/}} {{apache}} [[category:apache software
4	Apache Portable Runtime	apache}} [[category:apache software
5	Apache Portable Runtime	apache software foundation|portable runtime]] [[category:application programming interfaces]] [[category:software
6	Apache Portable Runtime	apache software
0	Apache HiveMind	apache software
1	Apache HiveMind	apache.org/ }} '''apache hivemind''' is an [[inversion of control]] (ioc) software
2	Apache HiveMind	apache hivemind''' is an [[inversion of control]] (ioc) software project of the [[apache software
3	Apache HiveMind	apache hivemind''' is an [[inversion of control]] (ioc) software
4	Apache HiveMind	apache software
5	Apache HiveMind	apache}} [[category:java platform]] [[category:apache software
6	Apache HiveMind	apache software
0	Apache Axis	apache axis logo.jpg|150px|apache axis logo]] | screenshot = | caption = | developer = [[apache software
1	Apache Axis	apache axis logo]] | screenshot = | caption = | developer = [[apache software
2	Apache Axis	apache software
3	Apache Axis	apache software
4	Apache Axis	apache axis2]] ==external links== * [//axis.apache.org/ apache axis homepage] at the apache software
5	Apache Axis	apache.org/ apache axis homepage] at the apache software
6	Apache Axis	apache axis homepage] at the apache software
7	Apache Axis	apache software foundation * [//axis.apache.org/axis/cpp/ apache axis c++ homepage] at the apache software
8	Apache Axis	apache software
9	Apache Axis	apache.org/axis/cpp/ apache axis c++ homepage] at the apache software
10	Apache Axis	apache axis c++ homepage] at the apache software
11	Apache Axis	apache software
12	Apache Axis	apache.org/axis/cpp/arch/end-2-end-sample.html axis-c++ tutorial] at the apache software
13	Apache Axis	apache software foundation * [//axis.apache.org/axis2/ apache axis2/java] at the apache software
14	Apache Axis	apache software
15	Apache Axis	apache.org/axis2/ apache axis2/java] at the apache software
16	Apache Axis	apache axis2/java] at the apache software
17	Apache Axis	apache software foundation * [//axis.apache.org/axis2/c/ apache axis2/c] at the apache software
18	Apache Axis	apache software
19	Apache Axis	apache.org/axis2/c/ apache axis2/c] at the apache software
20	Apache Axis	apache axis2/c] at the apache software
21	Apache Axis	apache software
22	Apache Axis	apache axis], see also stylus studio {{apache}} [[category:apache software
23	Apache Axis	apache}} [[category:apache software
24	Apache Axis	apache software
0	Apache Harmony	apache harmony logo.png|300px]] | screenshot = | caption = | developer = [[apache software
1	Apache Harmony	apache software
2	Apache Harmony	apache software
3	Apache Harmony	apache software
4	Apache Harmony	apache software
5	Apache Harmony	apache software
6	Apache Harmony	apache.org}}</ref> what makes the license unacceptable for [[apache software
7	Apache Harmony	apache software
8	Apache Harmony	apache software
9	Apache Harmony	apache harmony, which is not gpl-licensed. on december 9, 2010, the apache software
10	Apache Harmony	apache software
11	Apache Harmony	apache software
12	Apache Harmony	apache software
13	Apache Harmony	apache software
14	Apache Harmony	apache software
15	Apache Harmony	apache.org}}</ref> {{as of|2007|7}}, supported applications include: * [[eclipse (software
16	Apache Harmony	apache}} [[category:apache software
17	Apache Harmony	apache software
0	Aardvark (disambiguation)	apache ant *[[project aardvark]], the early code name of fog creek copilot remote access software
0	Apache Wicket	apache wicket logo.png]] | screenshot = | caption = | founder = [[jonathan locke]] | developer = [[apache software
1	Apache Wicket	apache software
2	Apache Wicket	apache software
3	Apache Wicket	apache software
0	Apache Tapestry	apache software
1	Apache Tapestry	apache software
2	Apache Tapestry	apache}} {{authority control}} [[category:apache software
3	Apache Tapestry	apache software
0	AxKit	apache axkit logo]] --> | screenshot = | caption = | developer = [[apache software
1	AxKit	apache software
2	AxKit	apache axkit''' was an [[xml]] apache publishing framework run by the [[apache software
3	AxKit	apache publishing framework run by the [[apache software
4	AxKit	apache software
5	AxKit	apache}} [[category:free software programmed in perl]] [[category:xml software]] [[category:perl software
6	AxKit	apache}} [[category:free software programmed in perl]] [[category:xml software
7	AxKit	apache}} [[category:free software
0	Apache Velocity	apache software
1	Apache Velocity	apache software
2	Apache Velocity	apache}} {{authority control}} [[category:apache software
3	Apache Velocity	apache software
0	Apache Derby	apache derby project]] | screenshot = | caption = | developer = [[apache software
1	Apache Derby	apache software
2	Apache Derby	apache software
3	Apache Derby	apache software
4	Apache Derby	apache derby. ==see also== {{portal|free software
5	Apache Derby	apache}} [[category:apache software
6	Apache Derby	apache software foundation|derby]] [[category:free database management systems]] [[category:free software
7	Apache Derby	apache software
0	Apache Jackrabbit	apache jackrabbit logo]] | screenshot = | caption = | developer = [[apache software
1	Apache Jackrabbit	apache software
2	Apache Jackrabbit	apache incubator]] on march 15, 2006, and is now a top level project of the [[apache software
3	Apache Jackrabbit	apache software
4	Apache Jackrabbit	apache}} [[category:apache software
5	Apache Jackrabbit	apache software
0	Alternative terms for free software	apache]] and [[mozilla foundation]] with own points of views on licenses. ===public-domain software
0	Archbishop Curley High School	apache software foundation]], a director of the [[open source initiative]]. |ref=apache software
1	Archbishop Curley High School	apache software
2	Archbishop Curley High School	"apache software foundation<ref name=""apache software foundation"">{{cite web|title=apache software"
3	Archbishop Curley High School	"apache software foundation<ref name=""apache software"
4	Archbishop Curley High School	apache software
5	Archbishop Curley High School	"apache software foundation"">{{cite web|title=apache software"
6	Archbishop Curley High School	apache software
7	Archbishop Curley High School	apache software
0	ApacheBench	apache source distribution, and like the apache web server itself, is free, [[open source]] software
1	ApacheBench	apache web server itself, is free, [[open source]] software
2	ApacheBench	apache.org apache httpd official website] [[category:apache software
3	ApacheBench	apache httpd official website] [[category:apache software
4	ApacheBench	apache software foundation]] [[category:load testing tools]] {{web-software
5	ApacheBench	apache software
0	Apache Directory	apache directory server | logo = | screenshot = | caption = | developer = [[apache software
1	Apache Directory	apache software
2	Apache Directory	apache.org/}} }} '''apache directory''' is an [[open source]] project of the [[apache software
3	Apache Directory	apache directory''' is an [[open source]] project of the [[apache software
4	Apache Directory	apache software
5	Apache Directory	apache software
6	Apache Directory	apache.org/api/ apache directory ldap api] {{apache}} [[category:apache software
7	Apache Directory	apache directory ldap api] {{apache}} [[category:apache software
8	Apache Directory	apache}} [[category:apache software foundation|directory]] [[category:directory services]] {{network-software
9	Apache Directory	apache}} [[category:apache software
10	Apache Directory	apache software foundation|directory]] [[category:directory services]] {{network-software
11	Apache Directory	apache software
0	Apache Strike	apache strike coverart.png |developer = william c. appleton (mac) |publisher = [[silicon beach software
0	Apache Commons	apache commons''' is a project of the [[apache software
1	Apache Commons	apache software
2	Apache Commons	apache}} <!--categories--> [[category:java (programming language) libraries]] [[category:apache software
3	Apache Commons	apache software foundation|commons]] [[category:software
4	Apache Commons	apache software
0	Apache JServ Protocol	apache software
0	Apache Forrest	apache forrest | logo = | screenshot = | caption = | developer = [[apache software
1	Apache Forrest	apache software
2	Apache Forrest	"apache forrest is fairly new"". ==see also== * [[apache software"
3	Apache Forrest	apache software
4	Apache Forrest	apache.org/ apache forrest website] {{apache}} {{authority control}} [[category:apache software
5	Apache Forrest	apache forrest website] {{apache}} {{authority control}} [[category:apache software
6	Apache Forrest	apache}} {{authority control}} [[category:apache software
7	Apache Forrest	apache software
0	Applied Micro Circuits Corporation	apache hadoop]] software
0	Advanced Message Queuing Protocol	apache, inetco and iit software demonstrated software
1	Advanced Message Queuing Protocol	apache, inetco and iit software
2	Advanced Message Queuing Protocol	apache qpid]], an [[open-source software
3	Advanced Message Queuing Protocol	apache foundation]] * [[apache activemq]], an [[open-source software
4	Advanced Message Queuing Protocol	apache activemq]], an [[open-source software
5	Advanced Message Queuing Protocol	apache foundation]] === pre-1.0 amqp broker implementations === * [[joram]], a java [[open-source software
0	Apache Hadoop	apache software
1	Apache Hadoop	apache.org |publisher=apache software
2	Apache Hadoop	apache software
3	Apache Hadoop	apache hadoop''' ({{ipac-en|pron|h|ə|ˈ|d|u:|p}}) is an [[open source|open-source]] [[software
4	Apache Hadoop	apache.org |publisher=apache software
5	Apache Hadoop	apache software
6	Apache Hadoop	apache spark top level apache project||<ref> {{cite web | title = the apache software
7	Apache Hadoop	apache project||<ref> {{cite web | title = the apache software
8	Apache Hadoop	apache software foundation announces apache™ spark™ as a top-level project : the apache software
9	Apache Hadoop	apache software
10	Apache Hadoop	apache™ spark™ as a top-level project : the apache software
11	Apache Hadoop	apache software foundation blog | url = https://blogs.apache.org/foundation/entry/the_apache_software
12	Apache Hadoop	apache software
13	Apache Hadoop	apache.org/foundation/entry/the_apache_software
14	Apache Hadoop	apache_software
15	Apache Hadoop	apache.org/jira/browse/hadoop-3412 |work=hadoop common |publisher=apache software
16	Apache Hadoop	apache software
17	Apache Hadoop	apache software foundation has stated that only software
18	Apache Hadoop	apache software
19	Apache Hadoop	apache.org |publisher=apache software
20	Apache Hadoop	apache software
21	Apache Hadoop	apache}} {{file systems}} {{authority control}} {{defaultsort:hadoop}} [[category:apache software
22	Apache Hadoop	apache software
0	Axis 2	apache axis2]], software
0	Apache Oozie	apache software
0	Aries	apache aries]], a set of software
0	Apache MyFaces	apache software
1	Apache MyFaces	apache license]] 2.0 | website = {{official url}} }} '''apache myfaces''' is an [[apache software
2	Apache MyFaces	apache myfaces''' is an [[apache software
3	Apache MyFaces	apache software
4	Apache MyFaces	apache myfaces core 2.2 description|accessdate=2016-01-29}}</ref> ==see also== {{portal|free software
5	Apache MyFaces	apache}} {{defaultsort:apache myfaces}} [[category:javaserver faces]] [[category:apache software
6	Apache MyFaces	apache myfaces}} [[category:javaserver faces]] [[category:apache software
7	Apache MyFaces	apache software
0	Apache OFBiz	apache ofbiz | logo = [[file:ofbiz-logov3-apache.png|190px]] | collapsible = yes | developer = [[apache software
1	Apache OFBiz	apache.png|190px]] | collapsible = yes | developer = [[apache software
2	Apache OFBiz	apache software
3	Apache OFBiz	apache software
4	Apache OFBiz	apache.org official apache ofbiz website] {{apache}} [[category:apache software
5	Apache OFBiz	apache ofbiz website] {{apache}} [[category:apache software foundation|ofbiz]] [[category:free accounting software
6	Apache OFBiz	apache ofbiz website] {{apache}} [[category:apache software
